339,Sega Pico
12,Xbox 360
32,Sega Saturn
41,Wii U
30,Sega 32X
167,PlayStation 5
87,Virtual Boy
48,PlayStation 4
482,Sega CD 32X
8,PlayStation 2
23,Dreamcast
35,Sega Game Gear
24,Game Boy Advance
78,Sega CD
9,PlayStation 3
11,Xbox
18,Nintendo Entertainment System
20,Nintendo DS
22,Game Boy Color
46,PlayStation Vita
131,Super NES CD-ROM System
21,Nintendo GameCube
33,Game Boy
38,PlayStation Portable
137,New Nintendo 3DS
37,Nintendo 3DS
64,Sega Master System/Mark III
169,Xbox Series X|S
7,PlayStation
29,Sega Mega Drive/Genesis
4,Nintendo 64
5,Wii
19,Super Nintendo Entertainment System
49,Xbox One
58,Super Famicom
130,Nintendo Switch
159,Nintendo DSi
